"Project ID","Title Project","Short Descr Project","Project Starts","Project Ends","Level of Impact","ISO CODE","Loc of Impact","Loc Info","% Aim 1: Right to Sustainable Livelihoods","% Aim 2: Right to Essential services","% Aim 3: Right to Life and Security","% Aim 4: Right to be heard","% Aim 5: Right to Equity"," Expenditure prior to 2010/11","Expenditure in 2010/11"," Revised Budget  in current and future years (£) ","Total Value all years (£)"
"ALBA74","Post Emergency intervention for 3 Communes in the flooded areas of Shkodra","Oxfam proposes this project to assist the population in the communes of Ane e Malit, Gur i Zi and Rrethina of Shkodra District, which suffered the consequences of the floods happening in January 2010.This project aims to assist the communities to recover their agriculture and livestock as well as continue to build their fragile economy in order to reach the market.","1-Sep-10 ","30-Sep-11 ","Country","AL","Albania"," SHKODRA ",100,-0,-0,-0,-0,-0," 55,687 "," 17,631 "," 73,318 "
"ALBA76","Local development through women farmers' involvement in economic initiatives","Women farmers in Dibra region, have limited opportunites to make a living and reach unused resources for accesing the market. Through Oxfam's partner organisations, Agritra Vision and ADAD this project aims to foster the involvement of women farmers' groups in economic initiatives that can add value to their produce. Women farmers will be the main focus of this project but not only, men will participate and benefit from this groups. The project is an integral part of the Livelihood programme (SCO 1.1) in Albania thus falls under PIP00243.","1-Oct-10 ","31-Mar-11 ","Country","AL","Albania",-0,90,-0,-0,-0,10,-0," 42,004 ",-0," 42,004 "
"ALBA77","World of difference -Another step toward strengthening the women role","The project is supported by Vodafone Albania Foundation and enables a woman agronomist to help women farmers  in remote villages of Shkodra , to improve capacities for better farming and processing of food, and to contribute in improving their living conditions and strengthen their role in the family and community. As part of the Albania Country PIP P00243, this project complements the livelihoods interventions that Oxfam is implementing in vulnerable rural communities in Albania and it specifically forcuss on women farmers.","10-Sep-10 ","10-Oct-11 ","Country","AL","Albania","10 communes in Shkodra region Albania",100,-0,-0,-0,-0,-0," 4,464 "," 4,317 "," 8,781 "
"ALBA78","Emergency Response - Floods in Shkoder","Oxfam proposes this emergency project to assist the population in the communIties affected by floods in Shkodra region. about 14.000 people evacuated from their homes, many more are struggling to cope the severe floods that has isolated their villages and houses where more than 14 000 ha of land are flooded.  Through this rapid response we will assist two communes ( the most affected) with Livestock food supply for 6 days . Secondly we will assista with hygiene items about 800 displaced families that are sheltered in the accomodation centres established in Shkodra town. This rapid onset project is part of P00243.","6-Dec-10 ","30-Dec-10 ","Country","AL","Albania","Shkoder region in particular the flooded lowland communes",-0,-0,100,-0,-0,-0," 18,565 ",-0," 18,565 "
"ANGA67","Humanitarian Preparedness Angola","This project will ensure quick appraisal and rapid assessments to be able to react to humanitarian crisis that will occur in Angola.","6-May-09 ","30-Jun-10 ","Country","AO","Angola",-0,10,10,60,10,10," 6,324 "," 14,281 ",-0," 20,605 "
"ARMA55","Community-based Primary Health Care Project in Borderline Regions of Armenia","Contributing to P00463, this project is designed to sustain the institutionalization of a demonstrable and workable model of the Community Based Primary Health Care Programme in rural remote/isolated communities of Armenia, ensuring accessible and affordable healthcare. The project beneficiaries are  rural population of 135 communities in borderline villages of  Armenia. Under special focus are women, children and vulnerable categories of the population (refugees, disabled, single elderly). The project will be implemented by long term partner Support to Communities NGO, all funds will be spent on grants to the partner.","1-May-08 ","31-Mar-13 ","Country","AM","Armenia"," Rural borderline communities ",-0,70,-0,10,20," 152,928 "," 100,097 ",-0," 253,024 "
"ARMA57","Voice and Women's Role in Governance","In line with PIP P00562 the project aims to strengthen poor women’s leadership and civic engagement through 4 Civic Centers of Dilijan, Ijevan, Berd and Noyemberyan cities of Tavush region of Armenia. Female representatives of Civic Centres will be empowered to enhance women’s participation in Local Council affairs and achieve meaningful impact on mainstreaming gender equality in social service provision, social protection and budgets allocation decisions. Specific focus will be made on achieving effective service delivery for children and youth with disabilities. Partner Bridge of Hope and OGB will manage the project.","18-Aug-08 ","18-Aug-11 ","Country","AM","Armenia"," Armenia ",-0,-0,-0,50,50," 106,676 "," 70,278 "," 23,536 "," 200,490 "
"ARMA61","Community Voices in Decision making from local to national levels.","Contributing to SCO4 and P00463, this project is aimed at strengthening the capacity of 30 communities of Shirak, Vayots Dzor and Syunik regions to utilize their right of participation, raising local/national governments’ commitment to address demand from below. Focus is on empowering grassroots groups to advocate/ solve needs with help of wider civil society, improving local government budgeting capacity with enhanced community involvement, and mobilising Civil Society Partnership Network for bringing pro-poor policy change through advocacy on agriculture and utility provision.  Four partners and OGB will manage the project. V2 corr auth lev","1-Sep-09 ","1-Aug-12 ","Country","AM","Armenia","Shirak, Vayots Dzor and Syunik regions of Armenia",-0,-0,-0,70,30," 110,562 "," 233,839 "," 351,991 "," 696,392 "
"ARMA62","New economic opportunities for small-scale farmers in Tavush and Vayots Dzor","This project contributes to PIP 463 in line with SCO1._x000D_
The aim of the project is support Small-Scale Farmers to secure Sustainable livelihoods through increasing access to economic opportunities in the agricultural value chains and increasing resilience to natural disasters and climate change thought piloting of community-based adaptation and advocating on agricultural insurance, adapting on agricultural cooperatives law and subsides._x000D_
OGB's partners will be 4 local NGO's: Horizon Fund (HF); Work and Motherland (W&M); Union of Protection of Consumer Rights (PCR); Union of Agricultural Cooperatives (UAC).","1-Apr-10 ","31-Mar-13 ","Country","AM","Armenia","Total 10 targeted communities in Vayots Dzor and Tavush Marzes.",55,20,-0,10,15,-0," 129,902 "," 150,000 "," 279,902 "
"ARMA63","Participatory multi-hazard disaster risk reduction in Armenia","This Project is a part of Regional Project aimed to increase resilience and reduce vulnerability of local communities and national institutions by supporting strategies that enable them to prepare for, mitigate and respond to natural disasters in Armenia.  Project will assist 10 communities to develop their resilience through an institutionalised community based model, promoted within district and national DRR strategic development in Armenia. Activities are aimed to strengthening the rural communities in Vayots Dzor on disaster preparedness, mitigation and risk reduction though capacity building and through active involvement of LSG in DRR.","1-May-10 ","31-Mar-12 ","Country","AM","Armenia","10 communities in Vayots Dzor Region (Marz), Republic of Armenia.",10,20,50,-0,20,-0," 124,871 "," 45,192 "," 170,063 "
"ARMA64","Community Voices in Decision making from local to national levels.","Contributing to SCO4 and P00463, this project is aimed at strengthening the capacity of 30 communities of Shirak, Vayots Dzor and Syunik regions to utilize their right of participation, raising local/national governments’ commitment to address demand from below. Focus is on empowering grassroots groups to advocate/ solve needs with help of wider civil society, improving local government budgeting capacity with enhanced community involvement, and mobilising Civil Society Partnership Network for bringing pro-poor policy change through advocacy on agriculture and utility provision.  Four partners and OGB will manage the project.","9-Jul-10 ","31-Mar-11 ","Country","AM","Armenia",-0,-0,-0,-0,70,30,-0," 29,631 ",-0," 29,631 "
"AZBA61","Advancing Healthy Communities through Responsive Local Governance","The project contributes to the P00464 and aims to improve the health status of 49 poor communities.  The project aims to contribute to the national efforts to improve the health of the population through improvements in the provision of PHC services, with a participatory and right-based approach. 4.5 years project  with EUR 1,189,310 budget will be funded by EC,OGB and Medicor Foundation and starting the 2 year managed by Aran and AHD.  The project actions includes rehabiliattion of 24 health facilities, support to 25 village health posts work, provision of 12potable water systems, health awareness, advocacy and campaigne work","7-May-08 ","31-Mar-12 ","Country","AZ","Azerbaijan","Tartar, Goranboy, Yevlax, Oguz, Barda, Agdam",-0,80,-0,20,-0," 229,704 "," 237,378 "," 257,373 "," 724,454 "
"AZBA64","Empowerment through strengthening local self-governance in Azerbaijan","The project is a part of P00464 and aims at empowerment and promotion of opportunities for poor people through strengthening local self-governance.The project  targets community and municipality members in 7 regions of Central Azerbaijan.The planned outcomes: people's trust towards municipalities increased; financial capacities of municipalities increased to be able to implement social projects for PLIP; municipalities have stronger voice in their dialogue with the government; the project will be managed by  Oxfam and partners.","1-May-08 ","30-Apr-10 ","Country","AZ","Azerbaijan","Aghdam, Barda, Tartar, Yevlakh, Goranboy",-0,-0,-0,100,-0," 234,297 "," 20,542 ",-0," 254,839 "
"AZBA67","Strengthening the role of disadvantaged youth in local self-governance in rural","The overall goal is to contribute to the empowering the disadvantaged rural youth to be vocal on transparency, accountability and poverty issues. The specific goal is to helping young people in Aran region to be successful and improve their self esteem as well as to contribute to identifying rights-based policies. The major tasks at this stage are: identification of active youth; creation spaces for personal development for disadvantaged youth; introduction informal education and discussions formats; creation networks between rural and capital youth movements. The target area is 3 large villages of Barda, Ter-ter and Agcebedi.","1-Jul-08 ","28-Feb-11 ","Country","AZ","Azerbaijan",-0,25,25,-0,25,25," 51,202 "," 21,457 ",-0," 72,659 "
"AZBA71","Support for poor farmers in the Central regions of Azerbaijan","Project is aiming at stimulating pro-poor agricultural economic development through pilot approaches to rural market and institution building in 5 districts. The planned outcome is to bring tangible benefits to the poor in a sustainable way, benefiting 36,000 poor farmers.Funding will cover costs for rehabilitation, collective marketing activities, trainings, publications, visibility, salaries, office equipment and transport. Project  is financed by Oxfam-Novib and Oxfam GB, implemented by OGB, ARAN, AKTIVTA, AAC and AMFA.","2-Aug-09 ","31-Mar-12 ","Country","AZ","Azerbaijan"," 6 districts in Central Azerbaijan ",75,-0,-0,10,15," 194,666 "," 133,985 "," 110,751 "," 439,402 "
"AZBA72","Engaging Civil Society in Policy Advocacy on Local Self-Governance in Azerbaijan","The project will support the advocacy and policy-making activities of the BINA Alliance comprised of 7 leading local NGOs with the profile in various dimensions of local self-governance development in Azerbaijan. This grassroots initiative has a task  of consolidation of available intellectual resources to the produce policy proposals, make the voice of civil society more vocal and the work - more concentrated in their dialogue with the government and work with the population. The project will suggest a number of constructive policy changes to improve the municipality institutions in terms of financial and legal status.","5-Oct-09 ","31-Mar-11 ","Country","AZ","Azerbaijan"," National  wide ",-0,-0,-0,80,20," 16,364 "," 39,872 ",-0," 56,236 "
"AZBA73","Strengthening 20 village municipalities’ capability to provide public services","The project aims to contribute to process of democratization and good local self-governance capable of provision of basic services to people. The project will ensure that 20 municipalities in rural areas of Central Azerbaijan are capable to increase access to potable water and sanitation infrastructure as well as services after 3 years. Expected outcomes project will yield will be 1) improved quality water supply system, treatment system infrastructure for beneficiary communities; 2) effective mechanism of water supply management by village municipalities is in place; 3) efficient and transparent funding mechanism for water supply is in place","1-Apr-10 ","31-Mar-12 ","Country","AZ","Azerbaijan","Karabakh lowlands of Central Azerbaijan",-0,25,25,25,25,-0," 99,728 "," 148,888 "," 248,616 "
"AZBA74","Community based DRR in Azerbaijan","The community based disaster risk reduction is new to Azerbaijan. There is a low level of preparedness in the country. There is some work done on river engineering such as embankment. However the approach of reducing the risk is not there.  This Project is a part of Regional Project aimed to increase resilience and reduce vulnerability of local communities and national institutions by supporting strategies that enable them to prepare for, mitigate and respond to natural disasters in 15 communities of Azerbaijan. V 2 raised to correct contract codes.","1-May-10 ","31-Mar-12 ","Country","AZ","Azerbaijan","2 districts of Azerbaijan (Shamakhi - Ismayilli and Salyan - Neftchala)",15,20,55,-0,10,-0," 129,310 "," 49,433 "," 178,743 "
"AZBA75","Sunrise project","The project is about to design the innovative programme on market access for small farmers in Azerbaijan to be implemented with funding from Oxfam GB and Global Food Company - Unilever. The project outcome is the Sunrise programme proposal, Logframe, Budget and Operational Plan. The planned costs will cover consultancy expences, visitors trips expences and costs of 3 reseraches - Household survey, Market research and Farmer's costs research.","1-Feb-10 ","31-Mar-12 ","Country","AZ","Azerbaijan",-0,100,-0,-0,-0,-0,-0," 56,955 "," 148,200 "," 205,155 "
"AZBA76","Strengthening municipal capacity and citizens’ engagement in local governance","Specific objectives: _x000D_
_x000D_
The program will focus on three main objectives;_x000D_
i. Increasing the awareness and understanding of municipal officials and citizens about the functions, roles and responsibilities of municipalities in Azerbaijan;  _x000D_
ii.Building the capacity of 16 municipalities to conduct budget planning and implementation in an accountable and citizen-oriented way;_x000D_
iii.Creating mechanism for citizen participation in municipal decision-making by establishing CRC participatory budgeting as a regular municipal practice;","1-Oct-10 ","30-Sep-11 ","Country","AZ","Azerbaijan"," Central Azerbaijan ",-0,-0,-0,80,20,-0," 42,512 "," 14,509 "," 57,021 "
"AZBA77","SMART Farmers - Stimulating the Market for Poor Farmers Project","Project will be a part of the new PIP, which hasn’t been developed yet. Project is implemented by Oxfam GB on behalf of SDC and is aimed to accelerate pro-poor growth in the regions of Barda, Tartar and Aghdam by changing the structure and characteristics of markets to make them function better and with greater fairness for the poor men and women, vegetable growers, that participate in them, on terms that are of benefit to them. The first 7 months of the project will be Inception Phase, after which the Full proposal must be developed and approved with SDC.","1-Nov-10 ","1-Apr-12 ","Country","AZ","Azerbaijan","Barda, Tartar, Aghdam",90,-0,-0,-0,10,-0," 167,868 "," 471,384 "," 639,252 "
"BGDA87","Community Mobilisation to End Violence Against Women in Bangladesh-01","Study shows in Bangladesh 47% of women experiencing physical violence at home by  close relationship but society is silent. As domestic violence (DV) is one of the cornerstones of gender inequality, this project seeks a fundamental shift in PPIB by challenging existing patriarchal system, execution of laws & policies and integration of gender issue within the organisation also at social institutions. Fund will be spent as partner’s grant to implement the designed activities to make people aware on DV, mobilise individual for action to end DV, organise event to deliver message and develop informal social security for survivors of VAW.","1-May-07 ","30-Jun-11 ","Country","BD","Bangladesh"," 23 Districts of 5 divisions in Bangladesh ",-0,-0,-0,-0,100," 458,026 "," 207,113 "," 18,448 "," 683,587 "
"BGDA89","Community Mobilisation Project to End Violence Against Women","Violence Against Women is the corner-stone to control women self-esteem and devalued women in different aspects. Studies show that 47% of women in Bangladesh experience physical violence from their marital partner, even higher if mental violence is considered. The project aiming about fundamental shift in people's idea, belief, attitude and practice which provoke and legetimite unacceptable behaviour. The partners Polli Sree, SDS, BITA implement the project by mobilisation individual, community also integration of gender issues in social institution and strengthen the services delivery system of responsive institution.","1-May-07 ","30-Jun-10 ","Country","BD","Bangladesh"," 10 districts of Bangladesh ",-0,-0,-0,-0,100," 331,859 "," 61,789 ",-0," 393,647 "
